   1	3  44  12   4 
   1	3  28  27  29 
   1	3  68  67  69 
   1	3  90  92  93 
   4	2  44  12 
   4	2  28  27 
   4	2  68  67 
   4	2  90  92 
   6	3  10   1   2 
   6	3   7  15  16 
   6	3  46  39  47 
   6	3  60  62  63 
   6	3  86  79  87 
   6	6  34  33 
   9	2  10   1 
   9	2   7  15 
   9	2  46  39 
   9	2  60  62 
   9	2  86  79 
  11	3   3  11  13 
  11	3  17   8   9 
  11	3  55  54  56 
  11	3  89  88  96 
  12	6  36  35 
  14	2   3  11 
  14	2  17   8 
  14	2  55  54 
  14	2  89  88 
  14	3  49  48  57 
  14	3  80  83  84 
  16	3  12   0   4 
  17	2  49  48 
  17	2  80  83 
  14	6  29  28 
  19	2  12   0 
  19	3  40  43  41 
  19	3  59  58  66 
  20	3  19  18  26 
  22	2  40  43 
  22	2  59  58 
  22	3  82  81  85 
  23	2  19  18 
  23	3   1   4   2 
  23	3  37  36  38 
  25	2  82  81 
  25	3  51  50  53 
  26	2  37  36 
  26	2   1   4 
  27	3  94  91  95 
  28	2  51  50 
  28	3  14   5   6 
  30	2  94  91 
  30	3  45  42  52 
  31	2  14   5 
  33	2  45  42 
  33	3  11   2  13 
  35	3  64  61  65 
  36	2  11   2 
  31	6  28  17 
  37	6  38  37 
  38	2  64  61 
  38	3   5  13   6 
  40	3  72  76  73 
  41	2   5  13 
  40	6  42  41 
  43	2  72  76 
  43	3  15   6  16 
  45	3  71  70  74 
  46	2  15   6 
  46	3  31  30  33 
  48	2  71  70 
  48	3   8  16   9 
  48	3  77  75  78 
  49	2  31  30 
  51	2  77  75 
  51	2   8  16 
  51	3  20  22  23 
  54	2  20  22 
  54	3  18   9  26 
  54	6  53  42 
  57	2  18   9 
  60	3  24  21  25 
  60	6  54  53 
  63	2  24  21 
  65	3  22  26  23 
  53	6  65  56 
  50	6  72  61 
  56	6  73  72 
  53	6  77  69 
  62	6  75  72 
  68	2  22  26 
  68	6  83  70 
  70	3  21  23  25 
  73	2  21  23 
  59	6  97  78 
  65	6  97  96 
  71	6  96  95 
  75	3  32  35  34 
  65	6  88  79 
  74	6  82  70 
  78	2  32  35 
  77	6  96  87 
  80	3  27  25  17 
  80	6  94  82 
  83	2  27  25 
  85	3  35  17  34 
  71	6  79  78 
  83	6  97  86 
  88	2  35  17 
  90	3  30  34  33 
  93	2  30  34 
  95	3  36  33  37 
  98	2  36  33 
 100	3  39  37  47 
 103	2  39  37 
 105	3  43  47  54 
 108	2  43  47 
 110	3  41  54  52 
 113	2  41  54 
 115	3  50  52  42 
 118	2  50  52 
 120	3  53  42  65 
 123	2  53  42 
 125	3  48  65  57 
 128	2  48  65 
 130	3  58  57  66 
 133	2  58  57 
 135	3  62  66  63 
 138	2  62  66 
 140	3  73  63  56 
 143	2  73  63 
 143	3  67  56  77 
 146	2  67  56 
 148	3  76  77  75 
 151	2  76  77 
 153	3  83  75  74 
 156	2  83  75 
 158	3  72  74  95 
 161	2  72  74 
 163	3  88  95  96 
 166	2  88  95 
 168	3  94  96  84 
 171	2  94  96 
 173	3  81  84  85 
 176	2  81  84 
 178	3  78  85  86 
 181	2  78  85 
 183	6  86  83 
 189	3  92  83  93 
 189	6  95  87 
 192	2  92  83 
 195	3  91  93  95 
 198	2  91  93 
