   1	2  16   0 
   1	6  19  13 
   3	3   7   0   1 
   6	3   0   1   2 
   9	3   8   2   3 
  12	3   9   2  10 
  15	3   4   2  11 
  18	3   5   2  17 
  21	3  18   2  15 
  21	6   6   5 
  24	3  23   2  14 
  27	3  21   2  22 
  30	3  24   2  12 
  33	6   6   2 
  33	6  34  32 
  33	6  30  23 
  39	3  13   6   5 
  39	6  23  18 
  42	6  13   6 
  30	6  36  28 
  39	6  38  36 
  45	6  38  24 
  48	3  19  13  20 
  51	3  25  13  26 
  54	3  27  13  34 
  54	6  31  17 
  45	6  36  35 
  51	6  36  22 
  57	6  26  13 
  60	6  29  23 
  63	3  33  26  18 
  60	6  38  31 
  63	6  13   6 
  66	3  17  26  24 
  69	3  23  26  22 
  72	3  17  26  23 
  75	3  33  26  17 
  78	3  27  26  33 
  78	6  13  11 
  75	6  37  21 
  81	6  29  24 
  78	6   9   2 
  84	6  12   2 
  90	3  25  26  27 
  90	6  10   8 
  93	3  19  26  25 
  96	3  11  26  19 
  99	3  31  26  11 
 102	3  37  26  31 
 105	3  30  26  37 
 108	3  24  26  30 
 111	3   9  26  24 
 114	3   4  26   9 
 117	3  12  26   4 
 120	3  10  26  12 
 120	6  39  31 
 123	6  11   8 
 126	6  38  33 
 129	6  17   9 
 129	6  22  15 
 132	6  26  25 
 135	6  23  14 
 132	6  39  38 
 135	6   9   2 
 141	4  31  32  25  10 
 145	4   3  10  25  12 
 149	4  11  12  25   4 
 149	6  15   8 
 153	6  38  31 
 153	6  18   5 
 153	6   3   2 
 159	4  13   4  25  17 
 163	4  33  17  25  24 
 163	6  12   5 
 167	4  22  24  25  30 
 169	6   5   3 
 171	4  23  30  25  37 
 175	4  36  37  25  31 
 175	6  13   5 
 179	4   9  31  25  15 
 183	4  18  15  25  19 
 187	4  20  19  25  26 
 191	4   6  26  25  27 
 195	4  34  27  25  39 
 199	6  39  19 
 187	6  22  14 
 193	6  29  15 
 199	6  22  16 
 205	4  12  19  25  13 
 205	6  15   9 
 209	6  18  13 
 205	6  30  29 
 209	6  39  32 
 215	4   9  18  25  16 
 219	3  16  25   8 
 222	4   9  18  25  16 
 226	3  18  25   9 
 229	4  12  19  25  18 
 226	6  38  30 
 233	3  19  25  12 
 232	6  39  38 
 236	4  34  27  25  19 
 240	3  27  25  34 
 243	4   6  26  25  27 
 247	3  26  25   6 
 250	4  20  32  25  26 
 254	3  32  25  20 
 257	6  33  13 
 229	6  22  15 
 235	6  15  14 
 241	6   7   0 
 247	6  14   1 
 253	6  21   7 
 263	4  33  39  25  32 
 267	3  39  25  33 
 270	4  22  31  25  39 
 274	3  31  25  22 
 277	4  36  37  25  31 
 281	3  37  25  36 
 284	4  23  29  25  37 
 288	3  29  25  23 
 291	4  15  24  25  29 
 295	3  24  25  15 
 298	4  13  17  25  24 
 302	3  17  25  13 
 305	4   5   4  25  17 
 309	3   4  25   5 
 312	4  11   3  25   4 
 316	3   3  25  11 
 319	4   2  10  25   3 
 323	3  10  25   2 
 326	4  30  38  25  10 
 330	3  10  25   3 
 333	3   3  25   4 
 336	3   4  25  17 
 339	3  17  25  24 
 342	3  24  25  29 
 345	3  29  25  37 
 348	3  37  25  31 
 351	3  31  25  39 
 354	3  39  25  32 
 357	3  32  25  26 
 360	3  26  25  27 
 363	3  27  25  19 
 366	3  19  25  18 
 369	3  18  25  16 
 372	3  38  25  30 
 375	3  10  25   2 
 378	3   3  25  11 
 381	3   4  25   5 
 384	3  17  25  13 
 387	3  24  25  15 
 390	3  29  25  23 
 393	3  37  25  36 
 393	6  15  14 
 399	3  31  25  22 
 402	3  39  25  33 
 402	6  22  14 
 405	3  32  25  20 
 408	3  26  25   6 
 408	6  28  14 
 411	3  27  25  34 
 414	3  19  25  12 
 414	6  30  28 
 417	6  26  13 
 411	6  10   2 
 420	6  45  28 
 426	3  18  25   9 
 429	3  16  25   8 
 432	3  21  15  25 
 435	2  21  15 
 435	6  45  40 
 441	3  21  15  25 
 444	3  10  25   2 
 447	3  11  25   3 
 450	3   5  25   4 
