   1	3  89  88  96 
   1	3  10   1   2 
   4	2  10   1 
   4	3  86  79  87 
   7	2  86  79 
   9	2  89  88 
   1	3  60  62  63 
   4	2  60  62 
   9	3  94  91  95 
   6	3  45  42  52 
   9	2  45  42 
  12	2  94  91 
   1	3   7  15  16 
   4	2   7  15 
   6	3   3  11  13 
   9	2   3  11 
   6	3  17   8   9 
  11	3  44  12   4 
  14	3  24  21  25 
  17	2  17   8 
  14	3  49  48  57 
  17	3  31  30  34 
  17	2  49  48 
  20	2  44  12 
  22	2  24  21 
  24	2  31  30 
  24	3  14   5   6 
  27	2  14   5 
  29	3  12   0   4 
  22	3  72  76  73 
  25	3  80  83  84 
  28	2  80  83 
  32	3   1   4   2 
  25	3  46  39  47 
  30	2  72  76 
  32	3  40  43  41 
  35	2  40  43 
  35	2   1   4 
  28	3  28  27  29 
  31	2  28  27 
  32	3  59  58  66 
  35	2  59  58 
  32	3  90  92  93 
  35	2  90  92 
  31	6  36  35 
  33	6  29  17 
  37	2  12   0 
  39	2  46  39 
  41	3  77  75  78 
  39	3  11   2  13 
  44	3  68  67  69 
  42	2  11   2 
  41	3  19  18  26 
  44	2  19  18 
  44	3   5  13   6 
  44	3  37  36  38 
  44	3  51  50  53 
  47	6  34  33 
  47	2   5  13 
  47	2  68  67 
  47	2  37  36 
  47	3  82  81  85 
  47	2  51  50 
  50	2  77  75 
  50	2  82  81 
  52	3  55  54  56 
  55	2  55  54 
  49	3  15   6  16 
  52	2  15   6 
  54	3   8  16   9 
  49	6  38  37 
  49	6  42  41 
  57	3  20  22  23 
  57	2   8  16 
  60	2  20  22 
  60	3  18   9  26 
  63	2  18   9 
  57	3  64  61  65 
  60	2  64  61 
  63	3  32  35  34 
  66	2  32  35 
  68	3  22  26  23 
  71	2  22  26 
  73	3  21  23  25 
  76	2  21  23 
  78	3  27  25  17 
  81	2  27  25 
  62	3  71  70  74 
  65	2  71  70 
  76	6  44  42 
  65	6  86  69 
  83	3  35  17  34 
  86	2  35  17 
  88	3  30  34  33 
  91	2  30  34 
  93	3  36  33  37 
  96	2  36  33 
  98	3  39  37  47 
 101	3  43  47  44 
 104	2  39  37 
 104	3  41  44  52 
 107	2  43  47 
 109	3  50  52  53 
 112	3  54  53  56 
 115	2  50  52 
 117	2  54  53 
 115	3  48  56  57 
 119	2  41  44 
 118	3  58  57  66 
 121	3  62  66  63 
 124	2  62  66 
 126	3  61  63  65 
 129	3  67  65  86 
 132	2  67  65 
 134	2  58  57 
 134	3  76  86  73 
 137	3  70  73  74 
 140	3  75  74  78 
 143	2  48  56 
 143	2  61  63 
 143	2  76  86 
 145	2  70  73 
 147	2  75  74 
 145	3  79  78  87 
 149	3  83  87  84 
 152	2  79  78 
 152	3  81  84  85 
 155	2  83  87 
 157	2  81  84 
 159	3  88  85  96 
 162	2  88  85 
 164	3  92  96  93 
 167	2  92  96 
 169	3  91  93  95 
 172	2  91  93 
