   1	3  14   2   7 
   4	3   6   0   1 
   1	3   5   4  11 
   4	2   5   4 
   7	2   6   0 
   4	3  17  16  15 
   7	3  10   9   8 
  10	2  14   2 
  12	3   7   0   1 
  15	2   7   0 
  12	2  10   9 
  12	1   2 
  14	2  17  16 
  14	3   4   9   3 
  16	3  20  22  27 
  19	3  18  12  24 
  17	1   0 
  22	2  18  12 
  19	3  29  28  34 
  22	2  20  22 
  17	6  11  10 
  17	6   2   1 
  24	2   6   0 
  24	2  29  28 
  24	3  10   9   8 
  24	3  26  25  31 
  27	6  22  16 
  27	2  26  25 
  27	3   2   3   8 
  33	6  10   3 
  29	6  24  12 
  39	3   2   4   3 
  35	3  24  25  19 
  39	3  16  22  21 
  42	6  21  14 
  48	3   4   9  10 
  26	6  35  34 
  38	3  33  34  32 
  41	2  33  34 
  43	6  35  23 
  51	2   2   4 
  53	1   4 
  51	3  27  22  15 
  38	6  24  12 
  44	3  24  25  31 
  47	6  31  25 
  54	3  19  14  13 
  54	2   3   9 
  56	1   9 
  56	2   5   4 
  58	2  11   9 
  60	3   4   9  10 
  63	3   2   4   3 
  54	3  28  34  35 
  57	6  25  20 
  63	3  20  14  15 
  66	3   8  13  15 
  69	6  13   8 
  69	6  21  16 
  75	6  19  13 
  81	6  18  12 
  75	6  28  23 
  81	6  22  15 
  57	6  33  32 
  75	6  31  26 
  81	6  26  25 
  87	3  19  13  20 
  90	3  19  18  24 
  93	3  13  14   8 
  96	3  18  25  13 
  99	2  19  18 
  87	3  28  34  33 
  90	6  28  22 
 101	1  18 
 102	2  12  18 
 101	3  20  21  27 
 104	2  24  25 
 106	1  25 
 107	2  31  25 
 109	3  18  25  13 
 112	3  19  18  24 
 104	3  28  35  33 
 115	3  21  15  14 
 118	2  20  21 
 120	1  21 
 121	2  26  21 
 123	2  27  15 
 107	6  29  23 
 125	1  15 
 126	2  17  15 
 128	3  21  15  14 
 131	3  13  14   8 
 131	3  28  29  22 
 134	3  20  21  27 
 137	6  15   8 
 143	3  19  13  20 
 137	3  29  34  35 
 140	2  28  29 
 143	2  22  34 
 142	1  29 
 145	2  23  29 
 146	6  19  14 
 147	3  28  29  22 
 150	2  23  29 
 152	6  28  21 
 143	6   3   2 
 152	6  10   8 
 158	3  14  15  21 
 158	6   3   2 
 161	3  20  19  21 
 161	6  17  10 
 164	3   2   8  14 
 167	3  23  29  22 
 167	3   7   0   2 
 170	6   7   2 
 170	1  29 
 167	6  20  19 
 173	3  24  25  19 
 170	6  22  17 
 176	6  28  27 
 176	2   6   0 
 178	3   6   0   7 
 181	1   0 
 173	6  15  14 
 179	3   3   9  15 
 182	6  16  10 
 182	3  13  20  14 
 185	3  18  25  13 
 188	2  12  18 
 188	3  28  22  21 
 188	2  31  25 
 190	3  31  25  19 
 188	6  10   8 
 193	1  25 
 194	3  27  22  20 
 194	3   4   9  10 
 197	6  11  10 
 203	2  16  22 
 203	2   5   4 
 197	2  26  27 
 205	3  16  22  21 
 197	3  12  18  24 
 200	1  18 
 208	3  26  27  28 
 197	3   8   1   2 
 211	1  22 
 200	1   1 
 211	1  27 
 205	3   5   4   3 
 208	1   4 
 208	2  10   9 
 210	3  10   9  15 
 213	1   9 
